Number One,Number Two,Their GCD,Time Spent (nanoseconds)
486,833,1,42300
723,584,1,46400
848,106,106,9600
347,223,1,16700
106,47,1,4600
657,373,1,30400
771,737,1,62600
18,799,1,2700
601,573,1,46900
38,947,1,3900
306,437,1,23400
546,534,6,44700
914,245,1,16200
654,608,2,50700
10,774,2,2100
231,81,3,7400
874,849,1,73200
277,266,1,17900
488,214,2,16300
808,667,1,56600
868,476,28,40200
382,136,2,9900
972,69,3,6200
282,31,1,3200
361,958,1,29800
0,343,0,700
291,267,3,18500
939,619,1,50700
757,669,1,56300
937,313,1,23900
26,724,2,3300
418,875,1,31900
423,732,3,35400
835,54,1,4900
517,695,1,43200
386,395,1,30600
333,142,1,11300
266,694,2,20100
532,131,1,10800
819,112,7,8900
500,345,5,27900
932,937,1,81100
110,28,2,3700
33,623,1,3500
632,747,1,53700
305,350,5,22500
774,565,1,47200
245,821,1,16400
343,772,1,27000
289,76,1,6300
318,935,1,25700
806,493,1,41500
928,715,1,62900
194,632,2,13500
875,577,1,47800
240,181,1,13700
801,987,3,68200
550,62,2,5600
613,328,1,26300
769,916,1,66100
824,549,1,44700
19,363,1,2500
589,980,1,51400
755,299,1,23200
176,512,16,12800
691,393,1,29200
528,850,2,42600
675,990,45,61500
612,877,1,54200
659,340,1,24700
238,911,1,16400
800,498,2,41300
752,558,2,46900
146,751,1,11400
260,532,4,20300
371,723,1,27500
147,744,3,11500
989,816,1,101800
638,879,1,62100
598,72,2,7100
702,682,2,58500
4,884,4,1900
973,305,1,23600
339,988,1,24900
227,635,1,17400
358,543,1,26400
707,677,1,57400
581,624,1,47200
303,50,1,4500
525,714,21,44800
453,749,1,35100
341,210,1,14300
552,158,2,11800
172,209,1,11800
235,758,1,17500
566,104,2,7700
946,945,1,79700
2,876,2,1500
321,240,3,16000
169,823,1,12900
187,172,1,13300
798,361,19,27100
810,957,3,67900
717,263,1,20000
720,261,9,21600
510,703,1,43100
831,291,3,20400
839,776,1,66300
396,394,2,33400
455,397,1,32300
203,206,1,14600
730,264,2,20800
473,683,1,38600
588,74,2,8000
416,815,1,35500
378,722,2,29400
320,488,8,25900
695,575,5,47300
535,442,1,37800
6,843,3,2200
786,199,1,13700
773,157,1,10900
765,648,9,56600
302,91,1,7800
49,808,1,4800
249,205,1,14000
409,960,1,33000
863,812,1,68400
733,485,1,39000
923,609,1,52800
39,739,1,4600
301,848,1,24300
250,706,2,16900
505,316,1,22600
872,787,1,68200
842,515,1,42200
403,300,1,23900
470,355,5,29200
429,439,1,35400
292,906,2,23800
887,951,1,78400
20,87,1,2600
141,215,1,10100
449,497,1,36100
65,375,5,6000
893,665,19,58600
295,633,1,22900
534,301,1,24100
309,466,1,24000
297,63,9,5600
366,228,6,17700
958,869,1,75900
300,664,4,22500
498,700,2,41100
648,713,1,55400
582,502,2,39500
837,17,1,2600
466,922,2,39100
474,166,2,14000
921,844,1,74900
408,468,12,32500
307,917,1,22700
293,220,1,14900
479,138,1,9700
134,285,1,10900
199,203,1,13400
137,523,1,9700
87,769,1,7100
16,839,1,2200
225,460,5,15800
9,481,1,1700
524,473,1,36400
178,149,1,10300
464,407,1,31400
56,90,2,5600
949,940,1,82800
627,535,1,42800
867,835,1,72700
879,754,1,63700
998,999,1,86000
611,685,1,49900
894,601,1,51900
541,389,1,29800
742,372,2,30600
571,258,1,19400
139,566,1,11000
427,152,1,12200
388,79,1,7100
69,995,1,6200
490,522,2,40700
370,641,1,31300
359,501,1,29000
697,173,1,12400
70,273,7,5900
881,360,1,28900
284,909,1,20700
751,971,1,65600
164,883,1,11200
162,143,1,10600
133,427,7,10800
435,297,3,23200
772,318,2,22800
590,77,1,7200
338,851,1,27200
527,150,1,11900
196,238,14,14500
174,0,0,800
891,540,27,46300
476,144,4,10800
221,845,13,15200
680,762,2,56600
402,243,3,18700
350,615,5,28100
72,890,2,6700
125,738,1,10300
640,941,1,54800
36,586,2,3700
530,1,1,1600
796,894,2,68700
644,57,1,6300
54,98,2,5000
328,16,8,2900
735,517,1,46300
363,770,11,30400
264,490,2,21300
701,224,1,31300
322,187,1,15700
993,455,1,36500
59,541,1,5300
766,688,2,61000
136,561,17,11800
963,868,1,78800
258,698,2,18500
311,4,1,1800
871,905,1,78200
456,794,2,39400
608,307,1,26400
98,378,14,9700
761,447,1,38100
177,370,1,13300
600,385,5,32200
547,853,1,46000
718,414,2,33700
828,597,3,53800
902,281,1,23100
865,46,1,4700
913,736,1,66600
411,778,1,34000
211,342,1,18000
132,756,12,11500
805,819,7,72300
109,842,1,8800
762,128,2,11600
13,896,1,2400
685,797,1,62600
883,967,1,81600
606,115,1,10200
975,977,1,86200
206,557,1,14900
383,259,1,20200
90,155,5,7300
351,323,1,26200
540,658,2,43900
635,938,1,53000
621,424,1,35800
785,239,1,16500
163,269,1,11600
727,923,1,64600
728,168,56,14900
332,358,2,27200
737,411,1,34100
161,810,1,14000
918,773,1,70300
114,156,6,10300
220,496,4,18000
489,673,1,42800
531,859,1,46300
399,429,3,33100
197,511,1,14400
207,983,1,14800
150,578,2,12400
392,831,1,33200
413,30,1,3700
776,832,8,69600
631,725,1,55500
971,310,1,26500
123,550,1,10900
670,196,2,14400
944,652,4,58600
495,889,1,43100
31,801,1,3900
304,92,4,7900
915,135,15,11800
724,356,4,29500
792,919,1,72100
239,618,1,19800
5,528,1,1900
246,34,2,4000
78,539,1,6600
167,244,1,13500
381,2,1,1500
111,813,3,8400
886,637,1,55400
791,686,7,57800
745,296,1,24700
818,768,2,67800
984,731,1,63800
884,122,2,10800
58,432,2,6000
431,465,1,35600
484,109,1,9600
763,710,1,59000
467,699,1,37800
217,893,1,15100
919,891,1,78500
129,197,1,9600
901,611,1,53600
329,489,1,24700
45,892,1,4700
567,167,1,13600
895,559,1,47800
804,996,12,70500
71,221,1,7000
441,102,3,8200
693,521,1,42600
579,814,1,48100
553,470,1,39300
689,284,1,22200
405,390,15,31700
748,946,22,66400
477,140,1,10500
325,516,1,27300
269,171,1,12400
182,458,2,13400
634,329,1,26400
597,531,3,45000
15,371,1,2500
149,8,1,1900
857,312,1,24800
626,913,1,51900
803,438,73,36600
929,474,1,39600
278,18,2,2700
185,12,1,16400
193,260,1,17000
726,148,2,14300
620,569,1,53700
447,834,3,43100
348,86,2,8300
962,193,1,16600
507,899,1,48300
861,727,1,67300
518,107,1,10800
222,719,1,18700
458,268,2,22800
443,188,1,13900
759,579,3,53600
812,524,4,50100
711,955,1,69600
545,684,1,52900
992,563,1,50000
684,235,1,18100
