Number One,Number Two,Their GCD,Time Spent (nanoseconds)
486,833,1,14900
723,584,1,6800
848,106,106,3200
347,223,1,5900
106,47,1,4200
657,373,1,5800
771,737,1,4900
18,799,1,5600
601,573,1,4800
38,947,1,5600
306,437,1,5700
546,534,6,3500
914,245,1,6100
654,608,2,5600
10,774,2,4100
231,81,3,4900
874,849,1,4300
277,266,1,4300
488,214,2,5400
808,667,1,6800
868,476,28,4900
382,136,2,4700
972,69,3,3500
282,31,1,3600
361,958,1,6900
0,343,0,1200
291,267,3,3700
939,619,1,5700
757,669,1,6200
937,313,1,4300
26,724,2,4800
418,875,1,6700
423,732,3,6800
835,54,1,4200
517,695,1,6600
386,395,1,4900
333,142,1,5400
266,694,2,7400
532,131,1,5000
819,112,7,3500
500,345,5,4800
932,937,1,4800
110,28,2,3500
33,623,1,4900
632,747,1,4800
305,350,5,6300
774,565,1,7600
245,821,1,8700
343,772,1,5000
289,76,1,4300
318,935,1,7000
806,493,1,7700
928,715,1,5600
194,632,2,5700
875,577,1,6300
240,181,1,4500
801,987,3,6100
550,62,2,4500
613,328,1,6500
769,916,1,5200
824,549,1,4200
19,363,1,3900
589,980,1,7700
755,299,1,5300
176,512,16,3800
691,393,1,5300
528,850,2,7100
675,990,45,3900
612,877,1,6100
659,340,1,4700
238,911,1,5800
800,498,2,7800
752,558,2,4500
146,751,1,4500
260,532,4,4500
371,723,1,6000
147,744,3,3900
989,816,1,7400
638,879,1,6900
598,72,2,4600
702,682,2,3200
4,884,4,2700
973,305,1,5200
339,988,1,6900
227,635,1,6000
358,543,1,6300
707,677,1,5300
581,624,1,5200
303,50,1,3900
525,714,21,5300
453,749,1,8500
341,210,1,6600
552,158,2,3500
172,209,1,6300
235,758,1,5800
566,104,2,4800
946,945,1,2800
2,876,2,2700
321,240,3,3900
169,823,1,5800
187,172,1,4100
798,361,19,4000
810,957,3,5200
717,263,1,6500
720,261,9,4700
510,703,1,7400
831,291,3,5000
839,776,1,5200
396,394,2,2700
455,397,1,5500
203,206,1,4300
730,264,2,5300
473,683,1,5800
588,74,2,3800
416,815,1,5100
378,722,2,5200
320,488,8,5100
695,575,5,5100
535,442,1,4400
6,843,3,3200
786,199,1,4400
773,157,1,3900
765,648,9,4700
302,91,1,4100
49,808,1,3800
249,205,1,5400
409,960,1,6300
863,812,1,5300
733,485,1,5800
923,609,1,5900
39,739,1,4600
301,848,1,6300
250,706,2,5700
505,316,1,6200
872,787,1,5400
842,515,1,6500
403,300,1,5300
470,355,5,4200
429,439,1,5200
292,906,2,5700
887,951,1,5200
20,87,1,4400
141,215,1,6300
449,497,1,6300
65,375,5,4400
893,665,19,3800
295,633,1,5400
534,301,1,5700
309,466,1,5800
297,63,9,4100
366,228,6,5000
958,869,1,5000
300,664,4,5200
498,700,2,6500
648,713,1,5100
582,502,2,5700
837,17,1,3200
466,922,2,5800
474,166,2,4600
921,844,1,5300
408,468,12,4600
307,917,1,5300
293,220,1,3400
479,138,1,3800
134,285,1,5000
199,203,1,4300
137,523,1,5000
87,769,1,5500
16,839,1,4300
225,460,5,4000
9,481,1,3900
524,473,1,5900
178,149,1,3800
464,407,1,4100
56,90,2,5700
949,940,1,3900
627,535,1,5800
867,835,1,4700
879,754,1,3900
998,999,1,3300
611,685,1,5900
894,601,1,5700
541,389,1,7600
742,372,2,3400
571,258,1,5000
139,566,1,4600
427,152,1,4600
388,79,1,4800
69,995,1,6400
490,522,2,5300
370,641,1,7700
359,501,1,7000
697,173,1,4700
70,273,7,4000
881,360,1,5100
284,909,1,4700
751,971,1,7100
164,883,1,6400
162,143,1,4600
133,427,7,4400
435,297,3,5400
772,318,2,4800
590,77,1,4400
338,851,1,7100
527,150,1,4700
196,238,14,4600
174,0,0,1200
891,540,27,4700
476,144,4,4400
221,845,13,5200
680,762,2,6000
402,243,3,5400
350,615,5,5600
72,890,2,5600
125,738,1,5800
640,941,1,6400
36,586,2,5100
530,1,1,2100
796,894,2,5000
644,57,1,4700
54,98,2,5100
328,16,8,2700
735,517,1,6000
363,770,11,3900
264,490,2,5100
701,224,1,6400
322,187,1,6200
993,455,1,4600
59,541,1,4600
766,688,2,6000
136,561,17,3300
963,868,1,4600
258,698,2,6300
311,4,1,3300
871,905,1,5500
456,794,2,4500
608,307,1,2400
98,378,14,2300
761,447,1,4300
177,370,1,2200
600,385,5,3500
547,853,1,5100
718,414,2,3600
828,597,3,3600
902,281,1,4300
865,46,1,2500
913,736,1,2900
411,778,1,3600
211,342,1,4500
132,756,12,3000
805,819,7,2600
109,842,1,4700
762,128,2,2200
13,896,1,2300
685,797,1,4100
883,967,1,3500
606,115,1,3200
975,977,1,2400
206,557,1,4300
383,259,1,3100
90,155,5,3400
351,323,1,3400
540,658,2,4300
635,938,1,3400
621,424,1,3400
785,239,1,3100
163,269,1,3400
727,923,1,4500
728,168,56,1600
332,358,2,3200
737,411,1,3200
161,810,1,2300
918,773,1,2300
114,156,6,2900
220,496,4,2700
489,673,1,4600
