Number One,Number Two,Their GCD,Time Spent (nanoseconds)
486,833,1,10400
723,584,1,4200
848,106,106,1800
347,223,1,2400
106,47,1,1800
657,373,1,3500
771,737,1,2900
18,799,1,2700
601,573,1,2800
38,947,1,2500
306,437,1,2400
546,534,6,1900
914,245,1,2800
654,608,2,2800
10,774,2,2000
231,81,3,2400
874,849,1,2400
277,266,1,2800
488,214,2,2500
808,667,1,4300
868,476,28,3800
382,136,2,3400
972,69,3,2700
282,31,1,2700
361,958,1,3300
0,343,0,700
291,267,3,2200
939,619,1,3500
757,669,1,3300
937,313,1,2300
26,724,2,2500
418,875,1,2700
423,732,3,2700
835,54,1,3800
517,695,1,3300
386,395,1,3200
333,142,1,3700
266,694,2,4300
532,131,1,4100
819,112,7,3800
500,345,5,2300
932,937,1,2400
110,28,2,2200
33,623,1,3400
632,747,1,3000
305,350,5,2800
774,565,1,3000
245,821,1,3500
343,772,1,3100
289,76,1,3600
318,935,1,3600
806,493,1,3800
928,715,1,3100
194,632,2,4600
875,577,1,3700
240,181,1,2100
801,987,3,4300
550,62,2,3300
613,328,1,3500
769,916,1,4100
824,549,1,2400
19,363,1,2600
589,980,1,2800
755,299,1,3700
176,512,16,2200
691,393,1,3500
528,850,2,3200
675,990,45,2400
612,877,1,3700
659,340,1,3800
238,911,1,3300
800,498,2,3100
752,558,2,4000
146,751,1,3600
260,532,4,2600
371,723,1,3100
147,744,3,4000
989,816,1,4000
638,879,1,3700
598,72,2,3100
702,682,2,3600
4,884,4,1700
973,305,1,3600
339,988,1,3900
227,635,1,2600
358,543,1,3100
707,677,1,3400
581,624,1,2900
303,50,1,3000
525,714,21,2000
453,749,1,4700
341,210,1,2700
552,158,2,2100
172,209,1,3300
235,758,1,3900
566,104,2,3300
946,945,1,2000
2,876,2,1600
321,240,3,2000
169,823,1,3400
187,172,1,2400
798,361,19,2200
810,957,3,2500
717,263,1,2700
720,261,9,2000
510,703,1,2800
831,291,3,2800
839,776,1,3300
396,394,2,1800
455,397,1,3400
203,206,1,1800
730,264,2,2900
473,683,1,2500
588,74,2,2900
416,815,1,2800
378,722,2,3000
320,488,8,2100
695,575,5,2900
535,442,1,2400
6,843,3,2000
786,199,1,2600
773,157,1,2800
765,648,9,2500
302,91,1,2600
49,808,1,2400
249,205,1,2600
409,960,1,3300
863,812,1,2600
733,485,1,2700
923,609,1,2800
39,739,1,2400
301,848,1,3200
250,706,2,3100
505,316,1,2500
872,787,1,3600
842,515,1,3100
403,300,1,3000
470,355,5,1900
429,439,1,2500
292,906,2,2700
887,951,1,3000
20,87,1,2600
141,215,1,2200
449,497,1,3000
65,375,5,2300
893,665,19,2000
295,633,1,3400
534,301,1,2400
309,466,1,2100
297,63,9,2100
366,228,6,2400
958,869,1,3300
300,664,4,3100
498,700,2,2700
648,713,1,2700
582,502,2,2500
837,17,1,3000
466,922,2,3000
474,166,2,2700
921,844,1,3200
408,468,12,2500
307,917,1,2200
293,220,1,2100
479,138,1,2600
134,285,1,2700
199,203,1,2100
137,523,1,2700
87,769,1,3300
16,839,1,2100
225,460,5,1700
9,481,1,2300
524,473,1,2900
178,149,1,3300
464,407,1,3100
56,90,2,2100
949,940,1,2700
627,535,1,3400
867,835,1,2600
879,754,1,3200
998,999,1,1900
611,685,1,3000
894,601,1,2900
541,389,1,2200
742,372,2,2100
571,258,1,3300
139,566,1,3400
427,152,1,3400
388,79,1,2500
69,995,1,2600
490,522,2,2500
370,641,1,3100
359,501,1,2500
697,173,1,2800
70,273,7,2000
881,360,1,3700
284,909,1,2500
751,971,1,2900
164,883,1,3000
162,143,1,2600
133,427,7,2300
435,297,3,2200
772,318,2,1900
590,77,1,2300
338,851,1,2600
527,150,1,2400
196,238,14,2100
174,0,0,900
891,540,27,2000
476,144,4,1800
221,845,13,2400
680,762,2,2500
402,243,3,2600
350,615,5,2200
72,890,2,2100
125,738,1,2800
640,941,1,2800
36,586,2,2300
530,1,1,2000
796,894,2,2900
644,57,1,2700
54,98,2,1900
328,16,8,1700
735,517,1,3200
363,770,11,2600
264,490,2,2500
701,224,1,3000
322,187,1,2300
993,455,1,2800
59,541,1,3200
766,688,2,3200
136,561,17,2800
963,868,1,3100
258,698,2,2600
311,4,1,2100
871,905,1,3100
456,794,2,3000
608,307,1,2500
98,378,14,2000
761,447,1,2200
177,370,1,2700
600,385,5,1800
547,853,1,2100
718,414,2,2500
828,597,3,2200
902,281,1,3100
865,46,1,2700
913,736,1,3400
411,778,1,3100
211,342,1,2500
132,756,12,2000
805,819,7,1900
109,842,1,2800
762,128,2,2400
13,896,1,2100
685,797,1,2800
883,967,1,2700
606,115,1,2900
975,977,1,1900
206,557,1,2700
383,259,1,2200
90,155,5,1400
351,323,1,2800
540,658,2,2600
635,938,1,3300
621,424,1,2800
785,239,1,2600
163,269,1,2300
727,923,1,2300
728,168,56,1800
332,358,2,2300
737,411,1,2900
161,810,1,2900
918,773,1,2400
114,156,6,1400
220,496,4,2100
489,673,1,2500
531,859,1,2300
399,429,3,2400
197,511,1,3000
207,983,1,2600
150,578,2,2900
392,831,1,2600
413,30,1,2200
776,832,8,2300
631,725,1,2600
971,310,1,2700
123,550,1,2700
670,196,2,1900
944,652,4,2400
495,889,1,2700
31,801,1,2800
304,92,4,1600
915,135,15,2200
724,356,4,2100
792,919,1,3500
239,618,1,2100
5,528,1,2000
246,34,2,2700
78,539,1,3000
167,244,1,2500
